CODIGO;DESCRIPCION GENERAL;DESCRIPCION DE ELECCION;DESCRIPCION ESPECIFICA;PRECIO
1038;ACEITES DE OLIVA;LINEA LUCASSI BLEND GOURMET:;Aceite de Oliva Blend Gourmet Mezcla x 500 Ml. LUCASSI ;$ 6.571
1040;ACEITES DE OLIVA;LINEA LUCASSI BLEND GOURMET:;Aceite de Oliva Blend Gourmet Mezcla x 1 Lt. LUCASSI ;$ 11.890
1041;ACEITES DE OLIVA;LINEA LUCASSI BLEND GOURMET:;Aceite de Oliva Blend Gourmet Mezcla x 2 Lt  LUCASSI ;$ 20.148
1042;ACEITES DE OLIVA;LINEA LUCASSI BLEND GOURMET:;Aceite de Oliva Blend Gourmet Mezcla x 5 Lt  LUCASSI ;$ 46.566
1049;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA PREMIUM GRAND GREEN OLIVE: La Rioja;Aceite de Oliva GRAND VIRGEN EXTRA PREMIUM x 250 Ml. VIDRIO;$ 10.670
1048;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA PREMIUM GRAND GREEN OLIVE: La Rioja;Aceite de Oliva GRAND VIRGEN EXTRA PREMIUM x 500 Ml. VIDRIO;$ 22.667
1050;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA PREMIUM GRAND GREEN OLIVE: La Rioja;Aceite de Oliva GRAND VIRGEN EXTRA PREMIUM x 1000 Ml. VIDRIO;$ 33.787
1755;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA GREEN OLIVE: La Rioja;Aceite de Oliva VIRGEN EXTRA x 250 Ml. VIDRIO;$ 8.418
1754;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA GREEN OLIVE: La Rioja;Aceite de Oliva VIRGEN EXTRA x 250 Ml. PET;$ 7.416
555;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA GREEN OLIVE: La Rioja;Aceite de Oliva VIRGEN EXTRA x 500 Ml. VIDRIO;$ 13.533
